bfdIf	if-[{id}]
bfdIfAf	af-{type}
bfdIfKaP	ifka
bfdIfP	bfdIfP
bfdIfPol	bfdIfPol-{name}
bfdInst	inst
bfdInstAf	af-{type}
bfdIpv4InstPol	bfdIpv4Inst-{name}
bfdIpv6InstPol	bfdIpv6Inst-{name}
bfdKaP	ka
bfdMhAuthP	mhauth
bfdMhIfAf	mhaf-{type}
bfdMhIfP	bfdMhIfP
bfdMhIfPol	bfdMhIfPol-{name}
bfdMhIpv4InstPol	bfdMhIpv4Inst-{name}
bfdMhIpv6InstPol	bfdMhIpv6Inst-{name}
bfdMhKaP	mhka
bfdMhNodeP	bfdMhNodeP
bfdMhNodePol	bfdMhNodePol-{name}
bfdMhop	mhop
bfdMicroBfdP	microBfdP
bfdNbr	nbr-srcip-[{srcip}]-destip-[{destip}]
bfdRsIfPol	rsIfPol
bfdRsMbrSess	rsmbrSess-[{tDn}]
bfdRsMhIfPol	rsMhIfPol
bfdRsMhNodePol	rsMhNodePol
bgpAsP	as
bgpBestPathCtrlPol	bestpath-{name}
bgpCtxAddlPathPol	bgpCtxAddlPathP
bgpCtxAfPol	bgpCtxAfP-{name}
bgpCtxPol	bgpCtxP-{name}
bgpDataPlaneIfP	dptep
bgpDomClearDomLTask	bgpDomClearDomLTask
bgpDomainIdBase	domblk
bgpExtIntersiteRRP	extisrr
bgpExtP	bgpExtP
bgpExtRRP	extrr
bgpFltrCtrlP	fltrctrl-{direction}
bgpImportRt	import-[{importType}]
bgpInfraPeerP	infraPeerP-[{addr}]
bgpInstPol	bgpInstP-{name}
bgpLocalAsnP	localasn
bgpLocator	loc-{name}
bgpMhBfdAuth	mhbfdauth
bgpMhBfdIntvl	mhbfdintvl
bgpPeerCont	peercont-{name}
bgpPeerEntryClearPeerLTask	bgpPeerEntryClearPeerLTask
bgpPeerP	peerP-[{addr}]
bgpPeerPfxPol	bgpPfxP-{name}
bgpPfxCtrlP	pfxctrl-{direction}
bgpPolicyCont	policycont-{name}
bgpPolicyInheritRule	pol-{name}
bgpProtP	protp
bgpRRNodePEp	node-{id}
bgpRRP	rr
bgpRsBestPathCtrlPol	rsBestPathCtrlPol
bgpRsBgpNodeCtxPol	rsbgpNodeCtxPol
bgpRsPeerPfxPol	rspeerPfxPol
bgpRsPeerToProfile	rspeerToProfile-[{tDn}]-{direction}
bgpRtSummPol	bgprtsum-{name}
bgpRtTarget	rt-[{rt}]-{type}
bgpRtTargetInstrP	rttargetinstrp
bgpRtTargetP	rtp-{af}
bgpSessionCont	sessioncont-{name}
bgpSgmtRtg	segrt-{sr}
bgpSiteOfOriginP	soo
bgpTbgp	bgptrap
bgpTcbgp2	cbgp2trap
callhomeDest	dest-{name}
callhomeGroup	chgroup-{name}
callhomeInvP	chinvp-{name}
callhomeProf	prof
callhomeQuery	chquery-{name}
callhomeQueryGroup	chquerygroup-{name}
callhomeRsDestGroup	rsdestGroup
callhomeRsDestGroupRel	rsdestGroupRel
callhomeRsInvScheduler	rsInvScheduler
callhomeRsQueryGroupRel	rsqueryGroupRel
callhomeRsSmartdestGroup	rssmartdestGroup
callhomeSmartCallhomeFault	code-{code}
callhomeSmartDest	smartdest-{name}
callhomeSmartGroup	smartgroup-{name}
callhomeSmartSrc	smartchsrc
callhomeSmtpServer	smtp
callhomeSrc	chsrc-{name}
cdpIfClearIfLTask	cdpIfClearIfLTask
cdpIfPol	cdpIfP-{name}
cloudAD	ad-{id}
cloudAEPgSelector	aepgselector
